PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34707294","Dispatched uses Na(+) flux to power release of lipid-modified Hedgehog","Wang Q, Asarnow DE, Ding K, Mann RK, Hatakeyama J, Zhang Y, Ma Y, Cheng Y, Beachy PA.","Nature. 2021 Nov;599(7884):320-324. doi: 10.1038/s41586-021-03996-0. Epub 2021 Oct 27.","Wang Q","Nature","2021","2021/10/28","","","10.1038/s41586-021-03996-0"
"34937943","Monocotyledonous plants graft at the embryonic root-shoot interface","Reeves G, Tripathi A, Singh P, Jones MRW, Nanda AK, Musseau C, Craze M, Bowden S, Walker JF, Bentley AR, Melnyk CW, Hibberd JM.","Nature. 2021 Dec 22. doi: 10.1038/s41586-021-04247-y. Online ahead of print.","Reeves G","Nature","2021","2021/12/23","","","10.1038/s41586-021-04247-y"
"34929721","VLDLR and ApoER2 are receptors for multiple alphaviruses","Clark LE, Clark SA, Lin C, Liu J, Coscia A, Nabel KG, Yang P, Neel DV, Lee H, Brusic V, Stryapunina I, Plante KS, Ahmed AA, Catteruccia F, Young-Pearse TL, Chiu IM, Llopis PM, Weaver SC, Abraham J.","Nature. 2021 Dec 20. doi: 10.1038/s41586-021-04326-0. Online ahead of print.","Clark LE","Nature","2021","2021/12/20","","","10.1038/s41586-021-04326-0"
"34587621","Roton pair density wave in a strong-coupling kagome superconductor","Chen H, Yang H, Hu B, Zhao Z, Yuan J, Xing Y, Qian G, Huang Z, Li G, Ye Y, Ma S, Ni S, Zhang H, Yin Q, Gong C, Tu Z, Lei H, Tan H, Zhou S, Shen C, Dong X, Yan B, Wang Z, Gao HJ.","Nature. 2021 Nov;599(7884):222-228. doi: 10.1038/s41586-021-03983-5. Epub 2021 Sep 29.","Chen H","Nature","2021","2021/09/29","","","10.1038/s41586-021-03983-5"
"34671164","Shigella evades pyroptosis by arginine ADP-riboxanation of caspase-11","Li Z, Liu W, Fu J, Cheng S, Xu Y, Wang Z, Liu X, Shi X, Liu Y, Qi X, Liu X, Ding J, Shao F.","Nature. 2021 Nov;599(7884):290-295. doi: 10.1038/s41586-021-04020-1. Epub 2021 Oct 20.","Li Z","Nature","2021","2021/10/21","","","10.1038/s41586-021-04020-1"
"34853467","Antigen-presenting innate lymphoid cells orchestrate neuroinflammation","Grigg JB, Shanmugavadivu A, Regen T, Parkhurst CN, Ahmed A, Joseph AM, Mazzucco M, Gronke K, Diefenbach A, Eberl G, Vartanian T, Waisman A, Sonnenberg GF.","Nature. 2021 Dec;600(7890):707-712. doi: 10.1038/s41586-021-04136-4. Epub 2021 Dec 1.","Grigg JB","Nature","2021","2021/12/02","PMC8702489","NIHMS1756785","10.1038/s41586-021-04136-4"
"34732866","Transition metal-catalysed molecular n-doping of organic semiconductors","Guo H, Yang CY, Zhang X, Motta A, Feng K, Xia Y, Shi Y, Wu Z, Yang K, Chen J, Liao Q, Tang Y, Sun H, Woo HY, Fabiano S, Facchetti A, Guo X.","Nature. 2021 Nov;599(7883):67-73. doi: 10.1038/s41586-021-03942-0. Epub 2021 Nov 3.","Guo H","Nature","2021","2021/11/04","","","10.1038/s41586-021-03942-0"
"34673755","Immunogenicity and efficacy of          heterologous ChAdOx1-BNT162b2 vaccination","Pozzetto B, Legros V, Djebali S, Barateau V, Guibert N, Villard M, Peyrot L, Allatif O, Fassier JB, Massardier-Pilonchéry A, Brengel-Pesce K, Yaugel-Novoa M, Denolly S, Boson B, Bourlet T, Bal A, Valette M, Andrieu T, Lina B; Covid-Ser study group, Cosset FL, Paul S, Defrance T, Marvel J, Walzer T, Trouillet-Assant S.","Nature. 2021 Dec;600(7890):701-706. doi: 10.1038/s41586-021-04120-y. Epub 2021 Oct 21.","Pozzetto B","Nature","2021","2021/10/21","","","10.1038/s41586-021-04120-y"
"34646011","Unravelling the collateral damage of antibiotics on gut bacteria","Maier L, Goemans CV, Wirbel J, Kuhn M, Eberl C, Pruteanu M, Müller P, Garcia-Santamarina S, Cacace E, Zhang B, Gekeler C, Banerjee T, Anderson EE, Milanese A, Löber U, Forslund SK, Patil KR, Zimmermann M, Stecher B, Zeller G, Bork P, Typas A.","Nature. 2021 Nov;599(7883):120-124. doi: 10.1038/s41586-021-03986-2. Epub 2021 Oct 13.","Maier L","Nature","2021","2021/10/14","","","10.1038/s41586-021-03986-2"
"34853456","In situ Raman spectroscopy reveals the structure and dissociation of interfacial water","Wang YH, Zheng S, Yang WM, Zhou RY, He QF, Radjenovic P, Dong JC, Li S, Zheng J, Yang ZL, Attard G, Pan F, Tian ZQ, Li JF.","Nature. 2021 Dec;600(7887):81-85. doi: 10.1038/s41586-021-04068-z. Epub 2021 Dec 1.","Wang YH","Nature","2021","2021/12/02","","","10.1038/s41586-021-04068-z"
"34794168","Genome surveillance by HUSH-mediated silencing of intronless mobile elements","Seczynska M, Bloor S, Cuesta SM, Lehner PJ.","Nature. 2021 Nov 18. doi: 10.1038/s41586-021-04228-1. Online ahead of print.","Seczynska M","Nature","2021","2021/11/18","","","10.1038/s41586-021-04228-1"
"34671163","Low glycaemic diets alter lipid metabolism to influence tumour growth","Lien EC, Westermark AM, Zhang Y, Yuan C, Li Z, Lau AN, Sapp KM, Wolpin BM, Vander Heiden MG.","Nature. 2021 Nov;599(7884):302-307. doi: 10.1038/s41586-021-04049-2. Epub 2021 Oct 20.","Lien EC","Nature","2021","2021/10/21","PMC8628459","NIHMS1758631","10.1038/s41586-021-04049-2"
"34707266","The audit","Thompson M.","Nature. 2021 Oct 27. doi: 10.1038/d41586-021-02928-2. Online ahead of print.","Thompson M","Nature","2021","2021/10/28","","","10.1038/d41586-021-02928-2"
"34880494","β-NAD as a building block in natural product biosynthesis","Barra L, Awakawa T, Shirai K, Hu Z, Bashiri G, Abe I.","Nature. 2021 Dec;600(7890):754-758. doi: 10.1038/s41586-021-04214-7. Epub 2021 Dec 8.","Barra L","Nature","2021","2021/12/09","","","10.1038/s41586-021-04214-7"
